Utility,ZIP Code,EVs on the Road
Consolidated Edison Company,10001,41
Consolidated Edison Company,10002,32
Consolidated Edison Company,10003,69
Consolidated Edison Company,10004,70
Consolidated Edison Company,10005,14
Consolidated Edison Company,10006,9
Consolidated Edison Company,10007,153
Consolidated Edison Company,10009,16
Consolidated Edison Company,10010,42
Consolidated Edison Company,10011,91
Consolidated Edison Company,10012,46
Consolidated Edison Company,10013,111
Consolidated Edison Company,10014,68
Consolidated Edison Company,10016,42
Consolidated Edison Company,10017,17
Consolidated Edison Company,10018,22
Consolidated Edison Company,10019,41
Consolidated Edison Company,10021,70
Consolidated Edison Company,10022,51
Consolidated Edison Company,10023,90
Consolidated Edison Company,10024,73
Consolidated Edison Company,10025,52
Consolidated Edison Company,10026,6
Consolidated Edison Company,10027,15
Consolidated Edison Company,10028,74
Consolidated Edison Company,10029,10
Consolidated Edison Company,10030,4
Consolidated Edison Company,10031,8
Consolidated Edison Company,10032,8
Consolidated Edison Company,10033,6
Consolidated Edison Company,10034,6
Consolidated Edison Company,10035,206
Consolidated Edison Company,10036,23
Consolidated Edison Company,10037,5
Consolidated Edison Company,10038,78
Consolidated Edison Company,10039,4
Consolidated Edison Company,10040,4
Consolidated Edison Company,10043,1
Consolidated Edison Company,10044,8
Consolidated Edison Company,10065,50
Consolidated Edison Company,10069,17
Consolidated Edison Company,10075,40
Consolidated Edison Company,10101,1
Consolidated Edison Company,10105,1
Consolidated Edison Company,10106,1
Consolidated Edison Company,10107,2
Consolidated Edison Company,10118,1
Consolidated Edison Company,10120,1
Consolidated Edison Company,10123,1
Consolidated Edison Company,10128,70
Consolidated Edison Company,10150,1
Consolidated Edison Company,10151,1
Consolidated Edison Company,10152,1
Consolidated Edison Company,10153,1
Consolidated Edison Company,10155,1
Consolidated Edison Company,10163,1
Consolidated Edison Company,10165,1
Consolidated Edison Company,10166,1
Consolidated Edison Company,10168,1
Consolidated Edison Company,10169,1
Consolidated Edison Company,10170,2
Consolidated Edison Company,10173,1
Consolidated Edison Company,10177,1
Consolidated Edison Company,10185,1
Consolidated Edison Company,10280,10
Consolidated Edison Company,10282,18
Consolidated Edison Company,10301,48
Consolidated Edison Company,10302,11
Consolidated Edison Company,10303,13
Consolidated Edison Company,10304,50
Consolidated Edison Company,10305,34
Consolidated Edison Company,10306,60
Consolidated Edison Company,10307,16
Consolidated Edison Company,10308,26
Consolidated Edison Company,10309,45
Consolidated Edison Company,10310,22
Consolidated Edison Company,10312,78
Consolidated Edison Company,10314,79
Consolidated Edison Company,10451,1
Consolidated Edison Company,10452,1
Consolidated Edison Company,10453,5
Consolidated Edison Company,10454,2
Consolidated Edison Company,10455,17
Consolidated Edison Company,10456,5
Consolidated Edison Company,10457,5
Consolidated Edison Company,10458,10
Consolidated Edison Company,10459,1
Consolidated Edison Company,10460,7
Consolidated Edison Company,10461,13
Consolidated Edison Company,10462,15
Consolidated Edison Company,10463,25
Consolidated Edison Company,10464,4
Consolidated Edison Company,10465,26
Consolidated Edison Company,10466,8
Consolidated Edison Company,10467,15
Consolidated Edison Company,10468,2
Consolidated Edison Company,10469,17
Consolidated Edison Company,10470,3
Consolidated Edison Company,10471,34
Consolidated Edison Company,10472,9
Consolidated Edison Company,10473,7
Consolidated Edison Company,10474,55
Consolidated Edison Company,10475,8
New York State Electric & Gas Corporation,10501,3
Consolidated Edison Company,10502,32
Consolidated Edison Company,10504,94
New York State Electric & Gas Corporation,10505,3
Consolidated Edison Company,10506,58
Consolidated Edison Company,10507,25
New York State Electric & Gas Corporation,10509,22
Consolidated Edison Company,10510,69
Consolidated Edison Company,10511,2
New York State Electric & Gas Corporation,10512,39
Consolidated Edison Company,10514,142
Central Hudson Gas & Electric Corporation,10516,22
Consolidated Edison Company,10517,1
New York State Electric & Gas Corporation,10518,5
New York State Electric & Gas Corporation,10519,1
Consolidated Edison Company,10520,63
Consolidated Edison Company,10521,1
Consolidated Edison Company,10522,53
Consolidated Edison Company,10523,22
Central Hudson Gas & Electric Corporation,10524,32
New York State Electric & Gas Corporation,10526,7
New York State Electric & Gas Corporation,10527,1
Consolidated Edison Company,10528,69
Consolidated Edison Company,10530,39
Consolidated Edison Company,10532,7
Consolidated Edison Company,10533,56
New York State Electric & Gas Corporation,10535,1
New York State Electric & Gas Corporation,10536,82
New York State Electric & Gas Corporation,10537,2
Consolidated Edison Company,10538,134
New York State Electric & Gas Corporation,10541,39
Consolidated Edison Company,10543,70
Consolidated Edison Company,10545,1
Consolidated Edison Company,10546,5
Consolidated Edison Company,10547,14
Consolidated Edison Company,10548,7
Consolidated Edison Company,10549,95
Consolidated Edison Company,10550,15
Consolidated Edison Company,10552,27
Consolidated Edison Company,10553,2
New York State Electric & Gas Corporation,10560,13
Consolidated Edison Company,10562,66
Consolidated Edison Company,10566,24
Consolidated Edison Company,10567,56
Consolidated Edison Company,10570,52
Consolidated Edison Company,10573,71
New York State Electric & Gas Corporation,10576,52
Consolidated Edison Company,10577,42
New York State Electric & Gas Corporation,10578,3
New York State Electric & Gas Corporation,10579,16
Consolidated Edison Company,10580,167
Consolidated Edison Company,10583,311
New York State Electric & Gas Corporation,10587,1
Consolidated Edison Company,10588,4
New York State Electric & Gas Corporation,10589,17
New York State Electric & Gas Corporation,10590,38
Consolidated Edison Company,10591,63
Consolidated Edison Company,10594,21
Consolidated Edison Company,10595,14
Consolidated Edison Company,10596,1
New York State Electric & Gas Corporation,10597,11
New York State Electric & Gas Corporation,10598,51
Consolidated Edison Company,10601,29
Consolidated Edison Company,10602,2
Consolidated Edison Company,10603,30
Consolidated Edison Company,10604,30
Consolidated Edison Company,10605,71
Consolidated Edison Company,10606,31
Consolidated Edison Company,10607,14
Consolidated Edison Company,10610,1
Consolidated Edison Company,10701,34
Consolidated Edison Company,10703,17
Consolidated Edison Company,10704,20
Consolidated Edison Company,10705,26
Consolidated Edison Company,10706,48
Consolidated Edison Company,10707,7
Consolidated Edison Company,10708,72
Consolidated Edison Company,10709,31
Consolidated Edison Company,10710,28
Consolidated Edison Company,10801,48
Consolidated Edison Company,10803,52
Consolidated Edison Company,10804,83
Consolidated Edison Company,10805,21
Orange and Rockland Utilities,10901,57
Orange and Rockland Utilities,10912,1
Orange and Rockland Utilities,10913,15
Orange and Rockland Utilities,10914,1
Orange and Rockland Utilities,10915,1
Central Hudson Gas & Electric Corporation,10916,9
Orange and Rockland Utilities,10917,5
Orange and Rockland Utilities,10918,21
Orange and Rockland Utilities,10919,2
Orange and Rockland Utilities,10920,27
Orange and Rockland Utilities,10921,5
Orange and Rockland Utilities,10922,5
Orange and Rockland Utilities,10923,5
Orange and Rockland Utilities,10924,27
Orange and Rockland Utilities,10925,10
Orange and Rockland Utilities,10926,6
Orange and Rockland Utilities,10927,9
Orange and Rockland Utilities,10928,4
Orange and Rockland Utilities,10930,13
Orange and Rockland Utilities,10932,1
Orange and Rockland Utilities,10933,1
Orange and Rockland Utilities,10940,41
Orange and Rockland Utilities,10941,19
Orange and Rockland Utilities,10949,1
Orange and Rockland Utilities,10950,67
Orange and Rockland Utilities,10952,68
Central Hudson Gas & Electric Corporation,10953,3
Orange and Rockland Utilities,10954,36
Orange and Rockland Utilities,10956,100
Orange and Rockland Utilities,10958,6
Orange and Rockland Utilities,10960,64
Orange and Rockland Utilities,10962,12
Orange and Rockland Utilities,10963,3
Orange and Rockland Utilities,10964,7
Orange and Rockland Utilities,10965,27
Orange and Rockland Utilities,10968,10
Orange and Rockland Utilities,10969,3
Orange and Rockland Utilities,10970,22
Orange and Rockland Utilities,10973,8
Orange and Rockland Utilities,10974,3
Orange and Rockland Utilities,10976,3
Orange and Rockland Utilities,10977,59
Orange and Rockland Utilities,10980,15
Orange and Rockland Utilities,10981,1
Orange and Rockland Utilities,10983,8
Orange and Rockland Utilities,10984,5
Orange and Rockland Utilities,10985,1
Orange and Rockland Utilities,10986,2
Orange and Rockland Utilities,10987,12
Orange and Rockland Utilities,10988,1
Orange and Rockland Utilities,10989,24
Orange and Rockland Utilities,10990,65
Orange and Rockland Utilities,10992,17
Orange and Rockland Utilities,10993,1
Orange and Rockland Utilities,10994,26
Orange and Rockland Utilities,10996,1
Orange and Rockland Utilities,10998,5
PSEG Long Island,11001,42
Consolidated Edison Company,11002,1
PSEG Long Island,11003,19
Consolidated Edison Company,11004,13
Consolidated Edison Company,11005,3
PSEG Long Island,11010,28
PSEG Long Island,11020,43
PSEG Long Island,11021,80
PSEG Long Island,11022,1
PSEG Long Island,11023,53
PSEG Long Island,11024,61
PSEG Long Island,11030,137
PSEG Long Island,11040,104
PSEG Long Island,11042,5
PSEG Long Island,11050,156
PSEG Long Island,11096,6
Consolidated Edison Company,11101,338
Consolidated Edison Company,11102,11
Consolidated Edison Company,11103,8
Consolidated Edison Company,11104,8
Consolidated Edison Company,11105,101
Consolidated Edison Company,11106,20
Consolidated Edison Company,11109,10
Consolidated Edison Company,11201,99
Consolidated Edison Company,11203,8
Consolidated Edison Company,11204,24
Consolidated Edison Company,11205,28
Consolidated Edison Company,11206,5
Consolidated Edison Company,11207,5
Consolidated Edison Company,11208,8
Consolidated Edison Company,11209,34
Consolidated Edison Company,11210,38
Consolidated Edison Company,11211,32
Consolidated Edison Company,11212,10
Consolidated Edison Company,11213,8
Consolidated Edison Company,11214,29
Consolidated Edison Company,11215,45
Consolidated Edison Company,11216,9
Consolidated Edison Company,11217,12
Consolidated Edison Company,11218,30
Consolidated Edison Company,11219,21
Consolidated Edison Company,11220,19
Consolidated Edison Company,11221,9
Consolidated Edison Company,11222,40
Consolidated Edison Company,11223,46
Consolidated Edison Company,11224,18
Consolidated Edison Company,11225,9
Consolidated Edison Company,11226,15
Consolidated Edison Company,11228,27
Consolidated Edison Company,11229,30
Consolidated Edison Company,11230,45
Consolidated Edison Company,11231,36
Consolidated Edison Company,11232,7
Consolidated Edison Company,11233,13
Consolidated Edison Company,11234,58
Consolidated Edison Company,11235,67
Consolidated Edison Company,11236,14
Consolidated Edison Company,11237,8
Consolidated Edison Company,11238,19
Consolidated Edison Company,11239,4
Consolidated Edison Company,11243,2
Consolidated Edison Company,11249,33
Consolidated Edison Company,11352,2
Consolidated Edison Company,11354,35
Consolidated Edison Company,11355,17
Consolidated Edison Company,11356,26
Consolidated Edison Company,11357,49
Consolidated Edison Company,11358,38
Consolidated Edison Company,11359,1
Consolidated Edison Company,11360,21
Consolidated Edison Company,11361,34
Consolidated Edison Company,11362,37
Consolidated Edison Company,11363,17
Consolidated Edison Company,11364,45
Consolidated Edison Company,11365,37
Consolidated Edison Company,11366,20
Consolidated Edison Company,11367,21
Consolidated Edison Company,11368,211
Consolidated Edison Company,11369,8
Consolidated Edison Company,11370,51
Consolidated Edison Company,11372,13
Consolidated Edison Company,11373,214
Consolidated Edison Company,11374,30
Consolidated Edison Company,11375,77
Consolidated Edison Company,11377,178
Consolidated Edison Company,11378,25
Consolidated Edison Company,11379,29
Consolidated Edison Company,11385,30
Consolidated Edison Company,11411,5
Consolidated Edison Company,11412,4
Consolidated Edison Company,11413,9
Consolidated Edison Company,11414,19
Consolidated Edison Company,11415,7
Consolidated Edison Company,11416,6
Consolidated Edison Company,11417,8
Consolidated Edison Company,11418,16
Consolidated Edison Company,11419,8
Consolidated Edison Company,11420,16
Consolidated Edison Company,11421,10
Consolidated Edison Company,11422,4
Consolidated Edison Company,11423,17
Consolidated Edison Company,11426,21
Consolidated Edison Company,11427,13
Consolidated Edison Company,11428,7
Consolidated Edison Company,11429,7
Consolidated Edison Company,11432,40
Consolidated Edison Company,11433,1
Consolidated Edison Company,11434,13
Consolidated Edison Company,11435,15
Consolidated Edison Company,11436,3
PSEG Long Island,11501,53
PSEG Long Island,11507,25
PSEG Long Island,11509,13
PSEG Long Island,11510,53
PSEG Long Island,11514,6
PSEG Long Island,11516,19
PSEG Long Island,11518,18
,11520,55
PSEG Long Island,11530,88
PSEG Long Island,11542,51
PSEG Long Island,11545,105
PSEG Long Island,11547,1
PSEG Long Island,11548,10
PSEG Long Island,11549,1
PSEG Long Island,11550,16
PSEG Long Island,11551,1
PSEG Long Island,11552,40
PSEG Long Island,11553,14
PSEG Long Island,11554,62
PSEG Long Island,11556,1
PSEG Long Island,11557,34
PSEG Long Island,11558,24
PSEG Long Island,11559,36
PSEG Long Island,11560,40
PSEG Long Island,11561,85
PSEG Long Island,11563,32
PSEG Long Island,11565,24
PSEG Long Island,11566,85
PSEG Long Island,11568,81
PSEG Long Island,11569,7
,11570,66
,11571,1
PSEG Long Island,11572,62
PSEG Long Island,11575,4
PSEG Long Island,11576,122
PSEG Long Island,11577,60
PSEG Long Island,11579,39
PSEG Long Island,11580,49
PSEG Long Island,11581,42
PSEG Long Island,11582,1
PSEG Long Island,11590,90
PSEG Long Island,11596,35
PSEG Long Island,11598,53
Consolidated Edison Company,11691,9
Consolidated Edison Company,11692,8
Consolidated Edison Company,11693,7
Consolidated Edison Company,11694,31
Consolidated Edison Company,11697,4
